respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,congenial,response_probe,question,condition,correct
3,0.0,0.0,1.0,,,,open,,,aca,mc,0
3,0.0,0.0,1.0,,,,open,,0.0,aca2,mc,0
3,0.0,0.0,1.0,,,,open,,,gg,mc,0
3,0.0,0.0,1.0,,,,open,,1.0,dt,mc,1
4,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
4,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
4,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
4,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
5,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
5,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
5,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
5,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,0.0,dt,mc,0
8,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,aca,mc,0
8,1.0,0.0,0.0,,1.0,0.0,closed,1.0,0.0,aca2,mc,0
8,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,gg,mc,0
8,1.0,0.0,0.0,,1.0,0.0,closed,0.0,1.0,dt,mc,1
9,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,aca,mc,1
9,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,1.0,aca2,mc,1
9,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,gg,mc,0
9,1.0,0.0,0.0,1.0,1.0,0.0,open,0.0,0.0,dt,mc,0
11,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,aca,mc,0
11,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,0.0,aca2,mc,0
11,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,gg,mc,0
11,1.0,0.0,0.0,1.0,1.0,0.0,open,0.0,1.0,dt,mc,1
12,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,aca,mc,0
12,1.0,0.0,0.0,,1.0,0.0,closed,1.0,0.0,aca2,mc,0
12,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,gg,mc,0
12,1.0,0.0,0.0,,1.0,0.0,closed,0.0,0.0,dt,mc,0
13,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
13,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
13,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
13,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,1.0,dt,mc,1
14,0.0,1.0,0.0,0.0,0.0,1.0,open,0.0,,aca,mc,0
14,0.0,1.0,0.0,0.0,0.0,1.0,open,0.0,0.0,aca2,mc,0
14,0.0,1.0,0.0,0.0,0.0,1.0,open,0.0,,gg,mc,0
14,0.0,1.0,0.0,0.0,0.0,1.0,open,1.0,1.0,dt,mc,1
15,0.0,0.0,1.0,,,,closed,,,aca,mc,1
15,0.0,0.0,1.0,,,,closed,,1.0,aca2,mc,1
15,0.0,0.0,1.0,,,,closed,,,gg,mc,0
15,0.0,0.0,1.0,,,,closed,,0.0,dt,mc,0
18,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
18,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
18,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
18,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,0.0,dt,mc,0
20,1.0,0.0,0.0,,1.0,0.0,open,1.0,,aca,mc,0
