respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,questions,q_item,r_num,responses,correct,max,unique,c_threshold_10,c_threshold_7,nc_threshold_5,nc_threshold_3,relscore_c_7,relscore_c_10,relscore_c_7_nounique,relscore_c_10_nounique,relscore_c_7_nomin,relscore_c_10_nomin
1,0,1,0,0,0,aca_1,aca,1,6,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
1,0,1,0,0,0,aca_2,aca,2,7,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
1,0,1,0,0,0,aca_3,aca,3,8,correct,8,1,NA,1,1,1,0,0,0,0,1,0
1,0,1,0,0,0,aca_4,aca,4,6,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
1,0,1,0,0,0,aca2_1,aca2,1,7,NA,7,NA,NA,1,1,1,0,0,0,0,0,0
1,0,1,0,0,0,aca2_2,aca2,2,5,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
1,0,1,0,0,0,aca2_3,aca2,3,3,correct,NA,NA,NA,NA,1,1,0,0,0,0,0,0
1,0,1,0,0,0,aca2_4,aca2,4,7,NA,7,NA,NA,1,1,1,0,0,0,0,0,0
1,0,1,0,0,0,gg_1,gg,1,7,NA,7,1,NA,1,1,1,0,0,0,0,0,0
1,0,1,0,0,0,gg_2,gg,2,6,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
1,0,1,0,0,0,gg_3,gg,3,4,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
1,0,1,0,0,0,gg_4,gg,4,6,correct,NA,NA,NA,NA,1,1,0,0,0,0,0,0
1,0,1,0,0,0,dt_1,dt,1,7,NA,7,NA,NA,1,1,1,0,0,0,0,0,0
1,0,1,0,0,0,dt_2,dt,2,5,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
1,0,1,0,0,0,dt_3,dt,3,4,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
1,0,1,0,0,0,dt_4,dt,4,7,correct,7,NA,NA,1,1,1,0,0,0,0,0,0
2,0,0,1,NA,NA,aca_1,aca,1,5,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
2,0,0,1,NA,NA,aca_2,aca,2,3,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
2,0,0,1,NA,NA,aca_3,aca,3,7,correct,7,1,NA,1,1,1,0,0,0,0,1,0
2,0,0,1,NA,NA,aca_4,aca,4,5,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
2,0,0,1,NA,NA,aca2_1,aca2,1,4,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
2,0,0,1,NA,NA,aca2_2,aca2,2,6,NA,6,NA,NA,NA,NA,1,0,0,0,0,0,0
2,0,0,1,NA,NA,aca2_3,aca2,3,4,correct,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
2,0,0,1,NA,NA,aca2_4,aca2,4,6,NA,6,NA,NA,NA,NA,1,0,0,0,0,0,0
2,0,0,1,NA,NA,gg_1,gg,1,4,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
2,0,0,1,NA,NA,gg_2,gg,2,6,NA,6,NA,NA,NA,NA,1,0,0,0,0,0,0
2,0,0,1,NA,NA,gg_3,gg,3,4,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
2,0,0,1,NA,NA,gg_4,gg,4,6,correct,6,NA,NA,NA,NA,1,0,0,0,0,0,0
2,0,0,1,NA,NA,dt_1,dt,1,5,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
2,0,0,1,NA,NA,dt_2,dt,2,5,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
2,0,0,1,NA,NA,dt_3,dt,3,6,NA,6,NA,NA,NA,1,1,0,0,0,0,0,0
2,0,0,1,NA,NA,dt_4,dt,4,6,correct,6,NA,NA,NA,1,1,0,0,0,0,0,0
3,0,0,1,NA,NA,aca_1,aca,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0,0,1,NA,NA,aca_2,aca,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0,0,1,NA,NA,aca_3,aca,3,NA,correct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0,0,1,NA,NA,aca_4,aca,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
