"","respondent","q_item","congenial","responses","survey","response_type"
"1",3,"aca",NA,0,"Closed","closed"
"2",3,"aca2",NA,0,"Closed","closed"
"3",3,"gg",NA,0,"Closed","closed"
"4",3,"dt",NA,1,"Closed","closed"
"5",4,"aca","1",0,"Closed","closed"
"6",4,"aca2","1",0,"Closed","closed"
"7",4,"gg","1",0,"Closed","closed"
"8",4,"dt","0",1,"Closed","closed"
"9",5,"aca","1",0,"Closed","closed"
"10",5,"aca2","1",0,"Closed","closed"
"11",5,"gg","1",0,"Closed","closed"
"12",5,"dt","0",0,"Closed","closed"
"13",8,"aca","1",0,"Closed","closed"
"14",8,"aca2","1",0,"Closed","closed"
"15",8,"gg","1",0,"Closed","closed"
"16",8,"dt","0",1,"Closed","closed"
"17",9,"aca","1",1,"Closed","closed"
"18",9,"aca2","1",1,"Closed","closed"
"19",9,"gg","1",0,"Closed","closed"
"20",9,"dt","0",0,"Closed","closed"
"21",11,"aca","1",0,"Closed","closed"
"22",11,"aca2","1",0,"Closed","closed"
"23",11,"gg","1",0,"Closed","closed"
"24",11,"dt","0",1,"Closed","closed"
"25",12,"aca","1",0,"Closed","closed"
"26",12,"aca2","1",0,"Closed","closed"
"27",12,"gg","1",0,"Closed","closed"
"28",12,"dt","0",0,"Closed","closed"
"29",13,"aca","0",0,"Closed","closed"
"30",13,"aca2","0",0,"Closed","closed"
"31",13,"gg","0",0,"Closed","closed"
"32",13,"dt","1",1,"Closed","closed"
"33",14,"aca","0",0,"Closed","closed"
"34",14,"aca2","0",0,"Closed","closed"
"35",14,"gg","0",0,"Closed","closed"
"36",14,"dt","1",1,"Closed","closed"
"37",15,"aca",NA,1,"Closed","closed"
"38",15,"aca2",NA,1,"Closed","closed"
"39",15,"gg",NA,0,"Closed","closed"
"40",15,"dt",NA,0,"Closed","closed"
"41",18,"aca","0",0,"Closed","closed"
"42",18,"aca2","0",0,"Closed","closed"
"43",18,"gg","0",0,"Closed","closed"
"44",18,"dt","1",0,"Closed","closed"
"45",20,"aca","1",0,"Closed","closed"
"46",20,"aca2","1",0,"Closed","closed"
"47",20,"gg","1",1,"Closed","closed"
"48",20,"dt","0",1,"Closed","closed"
"49",22,"aca","1",0,"Closed","closed"
"50",22,"aca2","1",0,"Closed","closed"
"51",22,"gg","1",0,"Closed","closed"
"52",22,"dt","0",1,"Closed","closed"
"53",24,"aca","0",0,"Closed","closed"
"54",24,"aca2","0",1,"Closed","closed"
"55",24,"gg","0",0,"Closed","closed"
"56",24,"dt","1",0,"Closed","closed"
"57",25,"aca","0",0,"Closed","closed"
"58",25,"aca2","0",0,"Closed","closed"
"59",25,"gg","0",1,"Closed","closed"
"60",25,"dt","1",1,"Closed","closed"
"61",27,"aca","0",0,"Closed","closed"
"62",27,"aca2","0",0,"Closed","closed"
"63",27,"gg","0",1,"Closed","closed"
"64",27,"dt","1",1,"Closed","closed"
"65",28,"aca","1",1,"Closed","closed"
"66",28,"aca2","1",1,"Closed","closed"
"67",28,"gg","1",0,"Closed","closed"
"68",28,"dt","0",0,"Closed","closed"
"69",30,"aca","1",1,"Closed","closed"
"70",30,"aca2","1",1,"Closed","closed"
"71",30,"gg","1",0,"Closed","closed"
"72",30,"dt","0",0,"Closed","closed"
"73",31,"aca",NA,0,"Closed","closed"
"74",31,"aca2",NA,0,"Closed","closed"
"75",31,"gg",NA,0,"Closed","closed"
"76",31,"dt",NA,0,"Closed","closed"
"77",32,"aca","1",0,"Closed","closed"
"78",32,"aca2","1",0,"Closed","closed"
"79",32,"gg","1",0,"Closed","closed"
"80",32,"dt","0",1,"Closed","closed"
"81",34,"aca","1",1,"Closed","closed"
"82",34,"aca2","1",1,"Closed","closed"
"83",34,"gg","1",0,"Closed","closed"
"84",34,"dt","0",1,"Closed","closed"
"85",35,"aca","0",0,"Closed","closed"
"86",35,"aca2","0",0,"Closed","closed"
"87",35,"gg","0",0,"Closed","closed"
"88",35,"dt","1",1,"Closed","closed"
"89",37,"aca","1",0,"Closed","closed"
"90",37,"aca2","1",0,"Closed","closed"
"91",37,"gg","1",0,"Closed","closed"
"92",37,"dt","0",0,"Closed","closed"
"93",38,"aca","1",0,"Closed","closed"
"94",38,"aca2","1",0,"Closed","closed"
"95",38,"gg","1",0,"Closed","closed"
"96",38,"dt","0",0,"Closed","closed"
"97",39,"aca","0",0,"Closed","closed"
"98",39,"aca2","0",0,"Closed","closed"
"99",39,"gg","0",0,"Closed","closed"
"100",39,"dt","1",1,"Closed","closed"
"101",40,"aca",NA,0,"Closed","closed"
"102",40,"aca2",NA,0,"Closed","closed"
"103",40,"gg",NA,0,"Closed","closed"
"104",40,"dt",NA,1,"Closed","closed"
"105",44,"aca","1",0,"Closed","closed"
"106",44,"aca2","1",1,"Closed","closed"
"107",44,"gg","1",0,"Closed","closed"
"108",44,"dt","0",0,"Closed","closed"
"109",45,"aca","0",0,"Closed","closed"
"110",45,"aca2","0",0,"Closed","closed"
"111",45,"gg","0",0,"Closed","closed"
"112",45,"dt","1",0,"Closed","closed"
"113",47,"aca","0",0,"Closed","closed"
"114",47,"aca2","0",0,"Closed","closed"
"115",47,"gg","0",0,"Closed","closed"
"116",47,"dt","1",1,"Closed","closed"
"117",48,"aca","1",0,"Closed","closed"
"118",48,"aca2","1",0,"Closed","closed"
"119",48,"gg","1",1,"Closed","closed"
"120",48,"dt","0",1,"Closed","closed"
"121",51,"aca","1",0,"Closed","closed"
"122",51,"aca2","1",0,"Closed","closed"
"123",51,"gg","1",1,"Closed","closed"
"124",51,"dt","0",1,"Closed","closed"
"125",53,"aca",NA,0,"Closed","closed"
"126",53,"aca2",NA,0,"Closed","closed"
"127",53,"gg",NA,0,"Closed","closed"
"128",53,"dt",NA,1,"Closed","closed"
"129",56,"aca","1",0,"Closed","closed"
"130",56,"aca2","1",0,"Closed","closed"
"131",56,"gg","1",1,"Closed","closed"
"132",56,"dt","0",1,"Closed","closed"
"133",58,"aca","0",1,"Closed","closed"
"134",58,"aca2","0",1,"Closed","closed"
"135",58,"gg","0",1,"Closed","closed"
"136",58,"dt","1",1,"Closed","closed"
"137",59,"aca","0",0,"Closed","closed"
"138",59,"aca2","0",0,"Closed","closed"
"139",59,"gg","0",0,"Closed","closed"
"140",59,"dt","1",0,"Closed","closed"
"141",61,"aca","1",0,"Closed","closed"
"142",61,"aca2","1",1,"Closed","closed"
"143",61,"gg","1",0,"Closed","closed"
"144",61,"dt","0",1,"Closed","closed"
"145",62,"aca",NA,0,"Closed","closed"
"146",62,"aca2",NA,0,"Closed","closed"
"147",62,"gg",NA,0,"Closed","closed"
"148",62,"dt",NA,1,"Closed","closed"
"149",63,"aca",NA,0,"Closed","closed"
"150",63,"aca2",NA,0,"Closed","closed"
"151",63,"gg",NA,0,"Closed","closed"
"152",63,"dt",NA,0,"Closed","closed"
"153",64,"aca","0",0,"Closed","closed"
"154",64,"aca2","0",1,"Closed","closed"
"155",64,"gg","0",0,"Closed","closed"
"156",64,"dt","1",1,"Closed","closed"
"157",66,"aca","0",0,"Closed","closed"
"158",66,"aca2","0",1,"Closed","closed"
"159",66,"gg","0",0,"Closed","closed"
"160",66,"dt","1",1,"Closed","closed"
"161",67,"aca","1",0,"Closed","closed"
"162",67,"aca2","1",0,"Closed","closed"
"163",67,"gg","1",0,"Closed","closed"
"164",67,"dt","0",1,"Closed","closed"
"165",68,"aca","0",0,"Closed","closed"
"166",68,"aca2","0",0,"Closed","closed"
"167",68,"gg","0",0,"Closed","closed"
"168",68,"dt","1",1,"Closed","closed"
"169",69,"aca","1",0,"Closed","closed"
"170",69,"aca2","1",0,"Closed","closed"
"171",69,"gg","1",0,"Closed","closed"
"172",69,"dt","0",0,"Closed","closed"
"173",71,"aca","1",1,"Closed","closed"
"174",71,"aca2","1",0,"Closed","closed"
"175",71,"gg","1",1,"Closed","closed"
"176",71,"dt","0",1,"Closed","closed"
"177",72,"aca","1",0,"Closed","closed"
"178",72,"aca2","1",0,"Closed","closed"
"179",72,"gg","1",0,"Closed","closed"
"180",72,"dt","0",0,"Closed","closed"
"181",73,"aca","1",0,"Closed","closed"
"182",73,"aca2","1",0,"Closed","closed"
"183",73,"gg","1",0,"Closed","closed"
"184",73,"dt","0",1,"Closed","closed"
"185",75,"aca","1",0,"Closed","closed"
"186",75,"aca2","1",0,"Closed","closed"
"187",75,"gg","1",1,"Closed","closed"
"188",75,"dt","0",1,"Closed","closed"
"189",77,"aca","1",0,"Closed","closed"
"190",77,"aca2","1",0,"Closed","closed"
"191",77,"gg","1",1,"Closed","closed"
"192",77,"dt","0",1,"Closed","closed"
"193",78,"aca","1",0,"Closed","closed"
"194",78,"aca2","1",0,"Closed","closed"
"195",78,"gg","1",0,"Closed","closed"
"196",78,"dt","0",1,"Closed","closed"
"197",82,"aca","0",0,"Closed","closed"
"198",82,"aca2","0",0,"Closed","closed"
"199",82,"gg","0",0,"Closed","closed"
"200",82,"dt","1",0,"Closed","closed"
"201",83,"aca","0",0,"Closed","closed"
"202",83,"aca2","0",0,"Closed","closed"
"203",83,"gg","0",0,"Closed","closed"
"204",83,"dt","1",1,"Closed","closed"
"205",88,"aca","0",0,"Closed","closed"
"206",88,"aca2","0",0,"Closed","closed"
"207",88,"gg","0",0,"Closed","closed"
"208",88,"dt","1",1,"Closed","closed"
"209",89,"aca","0",1,"Closed","closed"
"210",89,"aca2","0",1,"Closed","closed"
"211",89,"gg","0",1,"Closed","closed"
"212",89,"dt","1",0,"Closed","closed"
"213",90,"aca",NA,1,"Closed","closed"
"214",90,"aca2",NA,1,"Closed","closed"
"215",90,"gg",NA,0,"Closed","closed"
"216",90,"dt",NA,0,"Closed","closed"
"217",91,"aca",NA,0,"Closed","closed"
"218",91,"aca2",NA,0,"Closed","closed"
"219",91,"gg",NA,1,"Closed","closed"
"220",91,"dt",NA,0,"Closed","closed"
"221",94,"aca",NA,1,"Closed","closed"
"222",94,"aca2",NA,1,"Closed","closed"
"223",94,"gg",NA,1,"Closed","closed"
"224",94,"dt",NA,1,"Closed","closed"
"225",99,"aca",NA,1,"Closed","closed"
"226",99,"aca2",NA,1,"Closed","closed"
"227",99,"gg",NA,0,"Closed","closed"
"228",99,"dt",NA,1,"Closed","closed"
"229",101,"aca","1",1,"Closed","closed"
"230",101,"aca2","1",1,"Closed","closed"
"231",101,"gg","1",1,"Closed","closed"
"232",101,"dt","0",1,"Closed","closed"
"233",104,"aca","0",0,"Closed","closed"
"234",104,"aca2","0",0,"Closed","closed"
"235",104,"gg","0",0,"Closed","closed"
"236",104,"dt","1",0,"Closed","closed"
"237",106,"aca","0",0,"Closed","closed"
"238",106,"aca2","0",0,"Closed","closed"
"239",106,"gg","0",0,"Closed","closed"
"240",106,"dt","1",1,"Closed","closed"
"241",107,"aca",NA,0,"Closed","closed"
"242",107,"aca2",NA,0,"Closed","closed"
"243",107,"gg",NA,0,"Closed","closed"
"244",107,"dt",NA,0,"Closed","closed"
"245",108,"aca",NA,0,"Closed","closed"
"246",108,"aca2",NA,0,"Closed","closed"
"247",108,"gg",NA,0,"Closed","closed"
"248",108,"dt",NA,0,"Closed","closed"
"249",109,"aca",NA,0,"Closed","closed"
"250",109,"aca2",NA,0,"Closed","closed"
"251",109,"gg",NA,0,"Closed","closed"
"252",109,"dt",NA,0,"Closed","closed"
"253",110,"aca","1",1,"Closed","closed"
"254",110,"aca2","1",1,"Closed","closed"
"255",110,"gg","1",1,"Closed","closed"
"256",110,"dt","0",1,"Closed","closed"
"257",111,"aca","1",0,"Closed","closed"
"258",111,"aca2","1",0,"Closed","closed"
"259",111,"gg","1",1,"Closed","closed"
"260",111,"dt","0",0,"Closed","closed"
"261",113,"aca",NA,1,"Closed","closed"
"262",113,"aca2",NA,1,"Closed","closed"
"263",113,"gg",NA,0,"Closed","closed"
"264",113,"dt",NA,0,"Closed","closed"
"265",114,"aca","0",0,"Closed","closed"
"266",114,"aca2","0",0,"Closed","closed"
"267",114,"gg","0",1,"Closed","closed"
"268",114,"dt","1",1,"Closed","closed"
